Month,Year,Site,daily_NPP,NPP_SE,daily_R,R_SE,daily_GPP,GPP_SE,PR,PR_SE,no_of_days,UPDN_No,Notes_NPP,daily_NEC,daily_NEC_SE,night_NEC,night_NEC_SE
January,2007,LTER 1,942.17,118.96,-903.45,160.9,2503.27,133.24,2,0.1,4,3,,NA,NA,NA,NA
June,2007,LTER 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,ADV for one site only,NA,NA,NA,NA
January,2008,LTER 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,check analyses,NA,NA,NA,NA
June,2008,LTER 1,412.06,54.24,-1540.62,70.49,1953.66,62.47,1.27,0.04,4,8,,NA,NA,NA,NA
January,2009,LTER 1,173.37,31.68,-917.57,67.6,1091.53,37.61,1.2,0.05,3,12,,NA,NA,NA,NA
June,2009,LTER 1,193.65,10.35,-1217.57,79.46,1412,89.82,1.16,0,2,13,,NA,NA,NA,NA
January,2010,LTER 1,214.2,126.09,-730.7,178.9,935.31,107.68,1.58,0.46,4,15,,NA,NA,NA,NA
June,2010,LTER 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no deployment,NA,NA,NA,NA
January,2011,LTER 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,instr. Failure,NA,NA,NA,NA
June,2011,LTER 1,737.38,121.8,-797.95,70.23,1647.2,75.97,1.82,0.29,4,19,,NA,NA,NA,NA
January,2012,LTER 1,701.13,53.82,-1370.53,39.42,2072.54,56.53,1.52,0.04,6,21,,278.79,51.94,-127.13,87.25
June,2012,LTER 1,487.96,46.52,-929.58,130.99,1418.13,92.76,1.62,0.11,7,23,,13.71,4.35,-6.79,0.73
January,2013,LTER 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,instr failure,NA,NA,NA,NA
June,2013,LTER 1,287.1,25.79,-1414.32,65.46,1702.32,43.14,1.21,0.03,6,27,,67.22,25.81,-1.94,1.95
January,2014,LTER 1,436.7,307.2,-1280.57,556.72,1638.34,206.21,2.05,0.75,6,29,,168.03,43.8,-189.71,75.48
June,2014,LTER 1,469.59,40.98,-490.38,84.5,959.97,64.19,1.23,0.08,4,31,,NA,NA,NA,NA
January,2015,LTER 1,104.33,13.51,-1487.89,121.48,1592.22,134.99,1.07,0,2,33,,256.88,26.15,-34.7,52.81
June,2015,LTER 1,129.55,9.05,-573.45,34.61,703,40.79,1.23,0.08,6,40,,62.84,8.73,-6.09,17.84
January,2016,LTER 1,576.18,33.03,-655.57,71.49,1231.8,168.71,1.88,0.11,5,42,,139.1,42.02,-25.04,45.39
June,2016,LTER 1,139.49,18.43,-551.24,8.31,690.73,19.35,1.25,0.03,5,44,,7.72,34.52,-26.21,31.95
January,2017,LTER 1,495.33,164.75,-1020.95,65.65,1516.28,225.45,1.46,0.13,5,46,,137.11,64.42,106.64,24.03
June,2017,LTER 1,388.99,88.76,-750.05,62.39,1139.04,150.84,1.5,0.07,5,47,,32.46,10.01,-18.11,13.48
January,2018,LTER 1,588.8,100.55,-1153.07,46.92,1741.88,142.18,1.5,0.07,6,49,,92.25,37.39,41.53,28.47
June,2018,LTER 1,476.49,111.53,-476.49,111.53,1222.71,144.34,1.51,0.1,6,51,,98.65,25.16,1.79,1.77
January,2019,LTER 1,380.29,112.72,-828.87,42.28,1209.16,149.05,1.44,0.12,6,53,,173.5,56.69,-3.34,84.91
